Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
FuselageGeom,879.685202,828.172257,939.004248,910.574587
Landing Gear,42.000000,40.311331,3.000000,2.965881
Landing Gear,42.000000,40.311331,3.000000,2.965881
WingGeom,1447.630005,1355.383897,678.192336,654.051883
PropGeom,20.870825,20.870825,1.096901,1.096901
PropGeom,20.870825,20.870825,1.096901,1.096901
H Tail,305.988484,296.581695,67.878706,67.768425
V Tail,204.034445,193.554480,52.873230,51.664253
Wheels,4.994418,4.994418,2.612531,2.612531
Wheels,4.994418,4.994418,2.612531,2.612531
Totals,2973.068623,2806.045478,1751.367385,1697.409779

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
FuselageGeom_S_Surf0,879.685202,828.172257
Landing Gear_S_Surf0,42.000000,40.311331
Landing Gear_S_Surf1,42.000000,40.311331
WingGeom_S_Surf0,723.815003,677.617578
WingGeom_S_Surf1,723.815003,677.766319
PropGeom_S_Surf0,20.870825,20.870825
PropGeom_S_Surf1,20.870825,20.870825
H Tail_S_Surf0,152.994242,148.290847
H Tail_S_Surf1,152.994242,148.290847
V Tail_S_Surf0,204.034445,193.554480
Wheels_S_Surf0,4.994418,4.994418
Wheels_S_Surf1,4.994418,4.994418
